hymn	stanza	line	offset	pronoun	page	zh
423	1	4	4	你	444	爲你，爲你，我舍生命，
423	1	5	3	你	444	爲我，你舍何情？
423	2	3	0	你	444	你也得以安享。
423	2	5	3	你	444	爲我，你費幾天？
423	3	5	3	你	444	爲我，你何所撇？
423	4	0	1	你	444	爲你，我受多苦，
423	4	4	1	你	444	爲你，爲你，我受多苦，
423	4	4	4	你	444	爲你，爲你，我受多苦，
423	4	5	3	你	444	爲我，你肯何負？
423	5	1	1	你	444	爲你，我已帶來：
423	5	4	1	你	444	爲你，爲你，我帶許多，
423	5	4	4	你	444	爲你，爲你，我帶許多，
423	5	5	3	你	444	爲我，你帶甚麼？”
427	1	3	1	祢	448	歸祢使用永無止，
427	2	0	5	祢	448	得我雙手爲祢用，
427	2	3	5	祢	448	蹤跡佳美傳祢名。
428	1	1	5	祢	449	我當獻何給祢？
428	1-chorus	1	3	祢	449	爲我，祢舍一切；
428	1-chorus	2	0	祢	449	祢曾爲我離天府，
428	1-chorus	7	1	祢	449	向祢，我獻一切！
428	2	0	2	祢	450	主，祢已將我救贖，
429	1	0	1	祢	450	照祢企圖，主，照祢企圖，
429	1	2	7	祢	450	塑造又甄陶，照祢美意；
429	2	0	1	祢	450	照祢企圖，主，照祢企圖，
430	2	7	5	祢	452	當我喜歡成祢的。
431	2	2	4	祢	452	當我得識祢完全，
431	3	5	3	祢	452	我虧欠祢有多少。
432	1	1	9	祢	453	主，我屬祢，單單屬祢；
432	1-chorus	3	7	祢	453	直到完全消失於祢！
432	4	0	3	祢	453	封閉於祢，與祢永相依，
440	1	2	5	祢	462	我的意志向祢投降，
440	3	1	2	祢	462	都歸祢作愛的奴役！
440	3	3	1	祢	462	服祢腳下，永不背離。
440	4	3	8	你	462	細語告我：“我歸你有。”
441	2	3	1	祢	463	惟祢永遠不欺騙。
441	2	7	4	祢	463	因我得見祢歡顏。
445	1-chorus	3	3	祢	467	我要求祢喜歡。
